catalog_id,title,author,alternate_titles,isbn13,year,edition_notes,series,ambiguity_tag
CAT-001,1984,George Orwell,Nineteen Eighty-Four|Nineteen Eighty Four,9780451524935,1950,Signet Classic paperback,,edition_pair
CAT-002,1984,George Orwell,Nineteen Eighty-Four|Nineteen Eighty Four,9780141036144,2008,Penguin Modern Classics hardcover,,edition_pair
CAT-003,Pride and Prejudice,Jane Austen,Pride & Prejudice,9780141439518,2003,Penguin Classics paperback,,edition_pair
CAT-004,Pride and Prejudice,Jane Austen,Pride & Prejudice,9780141040349,2008,Penguin Clothbound Classics,,edition_pair
CAT-005,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter and the Philosopher's Stone|Sorcerer's Stone,9780590353427,1998,US Scholastic edition,Harry Potter,us_uk_title
CAT-006,Harry Potter and the Philosopher's Stone,J. K. Rowling,Harry Potter and the Sorcerer's Stone|Philosopher's Stone,9780747532699,1997,UK Bloomsbury edition,Harry Potter,us_uk_title
CAT-007,The Magician's Nephew,C.S. Lewis,Magician's Nephew,9780064471107,1994,US HarperCollins,The Chronicles of Narnia,us_uk_title
CAT-008,The Philosopher's Stone,Colin Wilson,,9781932595406,2006,Unrelated book — title collision with Potter UK title,,shared_title
CAT-009,Harry Potter and the Chamber of Secrets,J.K. Rowling,Chamber of Secrets,9780439064873,1999,US edition,Harry Potter,
CAT-010,Harry Potter and the Prisoner of Azkaban,JK Rowling,Prisoner of Azkaban,9780439136365,1999,US edition; author initials without punctuation,Harry Potter,author_variant
CAT-011,Harry Potter and the Goblet of Fire,Joanne Rowling,Goblet of Fire|Harry Potter 4,9780439139601,2000,Author full given name variant,Harry Potter,author_variant
CAT-012,Harry Potter and the Order of the Phoenix,J.K. Rowling,Order of the Phoenix,9780439358071,2003,,Harry Potter,
CAT-013,Harry Potter and the Half-Blood Prince,J.K. Rowling,Half-Blood Prince|Half Blood Prince,9780439785969,2005,,Harry Potter,
CAT-014,Harry Potter and the Deathly Hallows,J.K. Rowling,Deathly Hallows,9780545010221,2007,,Harry Potter,
CAT-015,The Road,Cormac McCarthy,,9780307387899,2006,Pulitzer novel,,shared_title
CAT-016,The Road,Jack London,The Road (Jack London),9780486475721,1907,"Different book, same title",,shared_title
CAT-017,Beloved,Toni Morrison,,9781400033416,1987,,,shared_title
CAT-018,Beloved,Bertrice Small,,9780451205360,2000,"Romance novel, unrelated to Morrison",,shared_title
CAT-019,Rebecca,Daphne du Maurier,Rebecca (du Maurier),9780380730407,1938,,,shared_title
CAT-020,Rebecca,Daphne DuMaurier,Rebecca of Sunnybrook Farm (confusion bait — different work),9780380000000,1938,"Same work, alternate author spelling; alt field deliberately noisy",,author_variant
CAT-021,The Lord of the Rings,J.R.R. Tolkien,Lord of the Rings|LOTR,9780618640157,2005,Single-volume omnibus,The Lord of the Rings,omnibus
CAT-022,The Fellowship of the Ring,J.R.R. Tolkien,Fellowship of the Ring|LOTR Book 1,9780547928210,2012,Individual volume contained in omnibus CAT-021,The Lord of the Rings,omnibus
CAT-023,The Two Towers,J.R.R. Tolkien,Two Towers|LOTR Book 2,9780547928203,2012,Individual volume contained in omnibus CAT-021,The Lord of the Rings,omnibus
CAT-024,The Return of the King,J.R.R. Tolkien,Return of the King|LOTR Book 3,9780547928197,2012,Individual volume contained in omnibus CAT-021,The Lord of the Rings,omnibus
CAT-025,The Hobbit,J.R.R. Tolkien,There and Back Again|Hobbit,9780547928227,2012,Prequel; title is substring risk with related Tolkien shelves,,substring
CAT-026,The Hobbit and The Lord of the Rings,John Ronald Reuel Tolkien,Hobbit / LOTR boxed set|Tolkien boxed set,9780345538376,2012,Boxed set; author expanded name form,,author_variant
CAT-027,His Dark Materials,Philip Pullman,Dark Materials trilogy,9780440238133,2003,Omnibus of Northern Lights / Subtle Knife / Amber Spyglass,His Dark Materials,omnibus
CAT-028,The Golden Compass,Philip Pullman,Northern Lights|Golden Compass,9780440418603,1995,US title; UK is Northern Lights — contained in omnibus,His Dark Materials,us_uk_title
CAT-029,Northern Lights,Philip Pullman,The Golden Compass|Northern Lights (His Dark Materials),9781407130224,1995,UK title of Golden Compass,His Dark Materials,us_uk_title
CAT-030,The Subtle Knife,Philip Pullman,Subtle Knife,9780440418604,1997,Volume 2; in omnibus CAT-027,His Dark Materials,omnibus
CAT-031,The Amber Spyglass,Philip Pullman,Amber Spyglass,9780440418605,2000,Volume 3; in omnibus CAT-027,His Dark Materials,omnibus
CAT-032,It,Stephen King,,9781501142970,1986,Very short title; substring of many others,,substring
CAT-033,It Can't Happen Here,Sinclair Lewis,It Cannot Happen Here,9780451213846,1935,Contains 'It' as substring,,substring
CAT-034,Carrie,Stephen King,,9780307743664,1974,,,substring
CAT-035,Carrie Soto Is Back,Taylor Jenkins Reid,,9780593158241,2022,Title starts with Carrie,,substring
CAT-036,Dune,Frank Herbert,,9780441172719,1965,,Dune,substring
CAT-037,Dune Messiah,Frank Herbert,,9780441172696,1969,Title contains Dune,Dune,substring
CAT-038,Children of Dune,Frank Herbert,,9780441104024,1976,,Dune,substring
CAT-039,God Emperor of Dune,Frank Herbert,,9780441294671,1981,,Dune,
CAT-040,Heretics of Dune,Frank Herbert,,9780441328000,1984,,Dune,
CAT-041,Chapterhouse: Dune,Frank Herbert,Chapterhouse Dune|Chapter House Dune,9780441102673,1985,,Dune,
CAT-042,One Hundred Years of Solitude,Gabriel García Márquez,Cien años de soledad|100 Years of Solitude,9780060883287,1967,Accented author name,,author_variant
CAT-043,One Hundred Years of Solitude,Gabriel Garcia Marquez,Cien anos de soledad|Hundred Years of Solitude,9780061120091,2006,Unaccented author spelling; second edition entry,,author_variant
CAT-044,Love in the Time of Cholera,"García Márquez, Gabriel",El amor en los tiempos del cólera,9780307389732,1985,"Lastname, Firstname author order",,author_variant
CAT-045,Crime and Punishment,Fyodor Dostoevsky,Prestuplenie i nakazanie|Crime & Punishment,9780140449136,1866,Common English transliteration,,author_variant
CAT-046,Crime and Punishment,Fedor Dostoevskii,Crime and Punishment (Pevear/Volokhonsky),9780679734505,1993,Alternate transliteration + different ISBN edition,,author_variant
CAT-047,Anna Karenina,Leo Tolstoy,Anna Karenin,9780143035008,1878,,,author_variant
CAT-048,War and Peace,Lev Tolstoi,Voyna i mir|War & Peace,9781400079986,1869,Transliterated given name + surname,,author_variant
CAT-049,The Metamorphosis,Franz Kafka,Die Verwandlung|Metamorphosis,9780553213690,1915,,,us_uk_title
CAT-050,Metamorphosis,Franz Kafka,The Metamorphosis|Die Verwandlung,9780143105244,2002,Title without leading The,,us_uk_title
CAT-051,To Kill a Mockingbird,Harper Lee,Kill a Mockingbird,9780061120084,1960,,,
CAT-052,Go Set a Watchman,Harper Lee,,9780062409850,2015,Related Lee novel,,
CAT-053,The Great Gatsby,F. Scott Fitzgerald,Great Gatsby,9780743273565,1925,,,
CAT-054,The Catcher in the Rye,J.D. Salinger,Catcher in the Rye,9780316769488,1951,,,
CAT-055,Catcher in the Rye,JD Salinger,The Catcher in the Rye,9780241950432,2010,UK Penguin; author without periods; title without The,,author_variant
CAT-056,Brave New World,Aldous Huxley,,9780060850524,1932,,,
CAT-057,Fahrenheit 451,Ray Bradbury,Farenheit 451,9781451673319,1953,Common misspelling in alternate_titles,,
CAT-058,Animal Farm,George Orwell,,9780451526342,1945,,,
